Molecule ChEMBL ID,smiles,Standard Value
CHEMBL576,O=C(O)CCC(=O)O,-5.2
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,-3.51
CHEMBL16901,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,-6.33
CHEMBL1716,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl,2.12
CHEMBL275311,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,-6.28
CHEMBL13378,Cc1onc(O)c1CC(N)C(=O)O,1.61
CHEMBL275040,C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,15.34
CHEMBL273481,NCc1cc(O)no1,-3.29
CHEMBL1275,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,1.63
CHEMBL14126,Oc1ccc2ccccc2c1,39.22
CHEMBL16687,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,26.66
CHEMBL17127,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,-4.69
CHEMBL1200411,CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl,0.37
CHEMBL843,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,10.32
CHEMBL276568,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,30.84
CHEMBL275809,COc1ccc(-c2nc(C(=O)N3CCN(C)CC3)sc2-c2ccc(OC)cc2)cc1,0.34
CHEMBL1504869,C=CCN1CCc2nc(N)sc2CC1.Cl,2.07
CHEMBL1333097,Cl.O[C@@H]1CCCC[C@H]1N1CCC(c2ccccc2)CC1,19.41
CHEMBL1200950,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-],-6.24
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,10.13
CHEMBL1200798,Cl.O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,4.71
CHEMBL131,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,4.68
CHEMBL1200379,Cl.Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,8.51
CHEMBL1200425,C#CCN(C)Cc1ccccc1.Cl,-9.62
CHEMBL681,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,4.52
CHEMBL23094,Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO)O1,37.05
CHEMBL23254,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,0.97
CHEMBL24646,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,45.89
CHEMBL700,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,10.04
CHEMBL24640,CCCCCCCCCCCCCCCCCCO,-3.72
CHEMBL25195,Cn1c(-c2ccccc2)nnc1S(C)(=O)=O,-9.62
CHEMBL27507,c1ccc(C(O[C@@H]2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1,-0.54
CHEMBL286738,NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3,-3
CHEMBL1201154,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=S(=O)(O)CCS(=O)(=O)O,2.22
CHEMBL729,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,56.55
CHEMBL3215749,Cl.Cl.Fc1ccc(C(OCCN2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,-1.43
CHEMBL280828,O=C(O)Cc1cccnc1C(=O)O,44.98
CHEMBL286020,COc1cc([S+](C)[O-])ccc1-c1nc2ccc[nH]c-2n1,13.01
CHEMBL31907,CCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1,-3.94
CHEMBL284954,CCOC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1ccccc1,1.29
CHEMBL303580,Br.COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1,4.51
CHEMBL1256910,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2.Cl,-6.59
CHEMBL537445,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,-20.39
CHEMBL34819,CC(Oc1ccc(O)cc1)(P(=O)(O)O)P(=O)(O)O,33.33
CHEMBL33884,Cn1cc(C(=O)OCC2CCN(CCNS(C)(=O)=O)CC2)c2ccccc21,11.28
CHEMBL541388,Cl.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,-21
CHEMBL802,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],5.6
CHEMBL806,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,44.86
CHEMBL1255966,Br.CCCN(CCC)C1CCc2ccc(O)cc2C1,21.21
CHEMBL36715,NC(=O)CN1CCCC1=O,-5.9
CHEMBL38576,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1ccccc1,58.54
CHEMBL38508,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)c(F)c3)nc2C)ccc1OCC(=O)O,10.33
CHEMBL290299,Cn1c([N+](=O)[O-])cnc1COC(N)=O,-2.58
CHEMBL542157,Cl.O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,-1.88
CHEMBL540303,Cl.O=C(O)C1=CCNCC1,-8.09
CHEMBL406845,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,17.19
CHEMBL288496,O=C1c2ccccc2C(=O)C1c1ccc(Br)cc1,-5.55
CHEMBL1694,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl,4.86
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,41.03
CHEMBL849,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-1.82
CHEMBL84844,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,8.77
CHEMBL1398351,CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1.CS(=O)(=O)O,0.69
CHEMBL1069,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,-4
CHEMBL330038,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,4.55
CHEMBL1200895,NNCCc1ccccc1.O=S(=O)(O)O,7.33
CHEMBL1090,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-15.34
